"phoneme","canBeFirst","canBeMid","maleEnding","femaleEnding","outFirst","likedFirst","outMid","likedMid","outMale","likedMale","outFemale","likedFemale"
"fry",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"fu",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"fy",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"g'",TRUE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0
"ga",TRUE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0
"ge",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"gé",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"gh'",TRUE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0
"gha",TRUE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0
"ghe",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"ghé",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"ghi",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"gho",TRUE,TRUE,TRUE,FALSE,0,0,0,0,0,0,0,0
"ghoo",FALSE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"ghu",FALSE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"ghy",FALSE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"gi",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"gl'",TRUE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0
"gla",TRUE,TRUE,FALSE,TRUE,0,0,1,0,0,0,0,0
"glay",TRUE,TRUE,TRUE,FALSE,0,0,0,0,0,0,0,0
"gle",TRUE,TRUE,TRUE,TRUE,0,0,1,0,0,0,0,0
"glé",TRUE,TRUE,FALSE,TRUE,0,0,1,0,0,0,0,0
"gli",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"glo",TRUE,TRUE,TRUE,FALSE,0,0,0,0,0,0,0,0
"glu",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"gly",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"go",TRUE,TRUE,TRUE,FALSE,0,0,0,0,0,0,0,0
